,11,2,1,3,13
wood,0.00022347477676936127,955.401996668176,23.647300802134573,503.078316565956,4.5442117979769305e-06
steel,0.0026697265013630326,3885.6686821544686,109.01487814115555,1192.2747698748105,7.905062805585585e-06
resin,0.00011525203268036666,317.31704015005425,9.791659424195194,222.46471535713198,4.207375162798817e-07
magnet,0.0025404654407142784,10699.940429125294,84.27490430551656,920.3067736463724,7.821993417195842e-06
copper,0.042004608732733754,15894.202582955373,38.25849747795521,556.1690761014881,4.572323143529863e-06
other,0.003674747864579893,1357.4885021214734,7.095495687851972,113.25414885215417,7.873071274031377e-07
transport,1.0819072174220721e-05,40.50487267174492,3.3259707827939504,48.47641842702502,3.0782009014555353e-07
12m steel no zinc,0.0029989958781646044,21764.56759199281,810.6112406534537,7958.021529831169,5.183128573518596e-05
12m concrete,0.00570064508882669,9707.523208864972,556.2450563364047,4115.119432297806,2.6207149952018825e-05
12m zinc,0.04292698439491007,23955.570838726086,135.97231595118905,2242.267347205364,0.00012994890335189086
12m cable,0.034476924823093856,12702.72481598178,18.51282367727318,238.84142381691734,3.1822820341379434e-06
12m transport concrete,0.0001369557369875508,507.9276880424525,39.92626895672986,602.9550528481287,4.417026906965039e-06
12m transport steel,3.391591341080634e-05,121.43735982575646,9.444133638896641,139.17580645277297,9.068846602939197e-07
electronics rectifier,0.0036815299343382576,2130.9220790698178,54.630502354284815,696.4028004966016,3.0337467018788413e-06
electronics charge controller,0.0028979050825679157,1088.2001575335435,13.131843115664445,162.38619542269038,8.806052322274377e-07
electronics dump load,0.0013528448991492515,923.530234370217,30.254708522526748,383.23857779372173,1.480032364184322e-06
electronics batteries,0.41776398648815344,106082.46923495407,936.9565648247709,13088.431416385281,6.827532037204792e-05
electronics inverter,0.014854149490218816,6904.507007746206,90.72599317549863,1150.3138388042044,5.209470186843677e-06
electronics cables,0.10341721963580086,37281.41412087894,69.64873077934739,996.1944166110591,9.78295775128456e-06
electronics transport,4.832387742905615e-05,108.13366315771924,7.741271020420676,110.44009296125867,7.728976272371902e-07
