,11,1,3,4,2
wood,0.00022347477676936127,23.647300802134573,503.078316565956,0.012604526376964596,955.401996668176
steel,0.0026697265013630326,109.01487814115555,1192.2747698748105,0.051024533661146454,3885.6686821544686
resin,0.00011525203268036666,9.791659424195194,222.46471535713198,0.0023527570534560382,317.31704015005425
magnet,0.0025404654407142784,84.27490430551656,920.3067736463724,0.031241891174775167,10699.940429125294
copper,0.042004608732733754,38.25849747795521,556.1690761014881,0.14018767376113014,15894.202582955373
other,0.003674747864579893,7.095495687851972,113.25414885215417,0.014506013471567672,1357.4885021214734
transport,1.0819072174220721e-05,3.3259707827939504,48.47641842702502,0.00033429140333270904,40.50487267174492
12m steel no zinc,0.0029989958781646044,810.6112406534537,7958.021529831169,0.4013205307035318,21764.56759199281
12m concrete,0.00570064508882669,556.2450563364047,4115.119432297806,0.09873853864877014,9707.523208864972
12m zinc,0.04292698439491007,135.97231595118905,2242.267347205364,0.10928723519721406,23955.570838726086
12m cable,0.034476924823093856,18.51282367727318,238.84142381691734,0.11284052026939587,12702.72481598178
12m transport concrete,0.0001369557369875508,39.92626895672986,602.9550528481287,0.002691752755005942,507.9276880424525
12m transport steel,3.391591341080634e-05,9.444133638896641,139.17580645277297,0.0012999964149171474,121.43735982575646
electronics rectifier,0.0036815299343382576,54.630502354284815,696.4028004966016,0.03348176530501864,2130.9220790698178
electronics charge controller,0.0028979050825679157,13.131843115664445,162.38619542269038,0.012114297194981536,1088.2001575335435
electronics dump load,0.0013528448991492515,30.254708522526748,383.23857779372173,0.01609814597915171,923.530234370217
electronics electricity,0.03499337688536754,3798.982666456534,80538.09043433177,3.796599499334866,54273.71541393199
electronics inverter,0.014854149490218816,90.72599317549863,1150.3138388042044,0.07197022161526626,6904.507007746206
electronics cables,0.10341721963580086,69.64873077934739,996.1944166110591,0.3349546885890937,37281.41412087894
electronics transport,4.832387742905615e-05,7.741271020420676,110.44009296125867,0.0007483843990408459,108.13366315771924
